Food Vehicle,Food Type,Processing Stage,Brand,Producer,District,City,Address,Country,Origin Country,Producer Type,Importer,Refinery   ,Distributer,Repacker,SKU,Unit,Packaging,Price,Unit ,SourceURL,Date Accessed,Process to Obtain Data
Edible Oil,Soya Bean,,Rupchanda Soyabean Oil,Bangladesh Edible Oil Limited,Narayanganj,,,Bangladesh,,Local,X,X,X,X,1,litre,Poly,164,BDT,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Edible Oil,Soya Bean,,Rupchanda Soyabean Oil,Bangladesh Edible Oil Limited,,,,Bangladesh,,Local,Y,Y,Y,Y,1,litre,Pet Bottle,167,BDT,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Edible Oil,Soya Bean,,Rupchanda Soyabean Oil,Bangladesh Edible Oil Limited,,,,Bangladesh,,Local,Z,Z,Z,Z,2,litre,Pet Bottle,334,BDT,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Edible Oil,Soya Bean,,Rupchanda Soyabean Oil,Bangladesh Edible Oil Limited,,,,Bangladesh,,Local,A,A,A,A,5,litre,Pet Bottle,818,BDT,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Edible Oil,Soya Bean,,Rupchanda Soyabean Oil,Bangladesh Edible Oil Limited,,,,Bangladesh,,Local,X,X,X,X,8,litre,Pet Bottle,1320,BDT,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Edible Oil,Rice Bran,,Fortune Fortified Rice Bran Oil,Bangladesh Edible Oil Limited,,,,Bangladesh,,Local,Y,Y,Y,Y,1,litre,Pet Bottle,197,BDT,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Edible Oil,Rice Bran,,Fortune Fortified Rice Bran Oil,Bangladesh Edible Oil Limited,,,,Bangladesh,,Local,Z,Z,Z,Z,2,litre,Pet Bottle,390,BDT,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Edible Oil,Rice Bran,,Fortune Fortified Rice Bran Oil,Bangladesh Edible Oil Limited,,,,Bangladesh,,Local,A,A,A,A,5,litre,Pet Bottle,935,BDT,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Edible Oil,Rape & Mustard,,Fortune Kachi Ghani Pure Mustard Oil,Bangladesh Edible Oil Limited,,,,Bangladesh,,Local,X,X,X,X,1,litre,Pet Bottle,350,BDT,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Edible Oil,Sunflower,,Kings Sunflower Oil,Bangladesh Edible Oil Limited,,,,Bangladesh,,Local,Y,Y,Y,Y,5,litre,Pet Bottle,2100,BDT,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
