Producer-Processor name,CompanyID,Company Name,VehicleID,Food Vehicle,GL1ID,AdminLevel1,GL2ID,AdminLevel2,GL3ID,AdminLevel3,CountryID,Country
N/A,1,N/A,1,N/A,1,N/A,1,N/A,1,N/A,1,N/A
Green Oil Poultry & Feed Limited,9,Green Oil Poultry & Feed Industries,2,E,8,Rangpur,1,N/A,1,N/A,2,Bangladesh
IFAD Multi Products Limited,1,N/A,2,E,2,Dhaka,1,N/A,1,N/A,2,Bangladesh
Jamuna Edible Oil Industries Limited,10,Jamuna Industrial Agro Group,2,E,7,Rajshahi,1,N/A,1,N/A,2,Bangladesh
VOTT Oil Refineries Limited,7,City Group,2,E,4,Chattogram,1,N/A,1,N/A,2,Bangladesh
A Deshi Food Product Ltd,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
AMB Nosia Ltd,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Ara Food & Beverage,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Areej Veg Oils,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Chamak Food Products,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Confidence Edible Oil Ltd,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Gazi NPKS,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
JB Foods Service,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Jibon Food Products,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Kanon Enterprise,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
MH Edible Products Ltd,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Madina Oil Limited,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Monjil Multi Food Product Ltd,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
MS Modina Oil Mills,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Natore Agro Ltd,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
NM Food Product,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Olitalia,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Omi Food Product,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Pran Agro Ltd,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
President Food Products,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
RB Edible Food Product,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Rony Edible Oil & Food products Ltd,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Saif Edible Food Packing,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
MM Vegetable Oil Industries,1,N/A,2,E,2,Dhaka,8,Narayanganj,1,N/A,2,Bangladesh
Deepa Food Products Ltd,1,N/A,2,E,2,Dhaka,8,Narayanganj,1,N/A,2,Bangladesh
Tanveer/United Edible Oil Mills,1,N/A,2,E,2,Dhaka,8,Narayanganj,1,N/A,2,Bangladesh
Shun Shing Edible oil Ltd,1,N/A,2,E,5,Khulna,35,Bagerhat,156,Mongla,2,Bangladesh
Marine Edible Oil Ltd,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
ACI Edible Oils Ltd,1,N/A,2,E,7,Rajshahi,42,Shirajganj,1,N/A,2,Bangladesh
AM Bran Oil Company Ltd,1,N/A,2,E,2,Dhaka,1,N/A,1,N/A,2,Bangladesh
Adani Wilmar Ltd,1,N/A,2,E,10,Gujarat,66,Gujarat,1,N/A,2,Bangladesh
Lam Soon Edible Oil Industries Sdn Bhd,1,N/A,2,E,1,N/A,1,N/A,1,N/A,6,Malaysia
Green Oil Ltd,1,N/A,2,E,8,Rangpur,1,N/A,1,N/A,2,Bangladesh
KBC Agro Products Ltd,1,N/A,2,E,2,Dhaka,1,N/A,1,N/A,2,Bangladesh
Kadooglu yag san,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
Kucukbay Oil Industry Inc,1,N/A,2,E,1,N/A,1,N/A,1,N/A,2,Bangladesh
