EntityID,Producer-Processor Name,Task Done By Entity,ProductionCapacityVolumeMTY,PercentageOfCapacityUsed,Annual production/ supply Volume (MT/Y),ProducerReferenceID,Identifier Number
1,N/A,N/A,0,0,0,1,N/A
2,ACI Logistics Limited,Distributor,0,100,0,1,N/A
3,Agrotech International Limited,Distributor,0,100,0,1,N/A
4,Ali Natural Oil Mills & Agro Industries Limited,Distributor,0,100,0,1,N/A
5,Bangladesh Edible Oil Limited,Distributor,0,100,0,1,N/A
6,Bashundhara Multi Food Products Limited,Distributor,0,100,0,1,N/A
7,Bay Fishing Corporation Limited,Distributor,0,100,0,1,N/A
8,City Edible Oil Limited,Distributor,0,100,0,1,N/A
9,Globe Edible Oil Limited,Distributor,0,100,0,1,N/A
10,Green Oil Poultry & Feed Limited,Distributor,0,100,0,1,N/A
11,IFAD Multi Products Limited,Distributor,0,100,0,1,N/A
12,Jamuna Edible Oil Industries Limited,Distributor,0,100,0,1,N/A
13,Jamuna Edible Oil Industries Limited (Unit-2),Distributor,0,100,0,1,N/A
14,Jasmir Super Oil Limited,Distributor,0,100,0,1,N/A
15,KBC Agro Products Private Limited,Distributor,0,100,0,1,N/A
16,Marico Bangladesh Limited,Distributor,0,100,0,1,N/A
17,Mazumdar Bran Oil Mills Limited,Distributor,0,100,0,1,N/A
18,Meer Banaspati Products,Distributor,0,100,0,1,N/A
19,Meghna Edible Oils Refinery Limited,Distributor,0,100,0,1,N/A
20,MM Vegitable Oil Products Limited,Distributor,0,100,0,1,N/A
21,MRT Agro Products BD Limited,Distributor,0,100,0,1,N/A
22,Northern Consumer Products Limited,Distributor,0,100,0,1,N/A
23,Rashid Oil Mills Limited,Distributor,0,100,0,1,N/A
24,Rupsha Edible Oil Refinery Limited,Distributor,0,100,0,1,N/A
25,S Alam Super Edible Oil Limited,Distributor,0,100,0,1,N/A
26,Sena Edible Oil Industries,Distributor,0,100,0,1,N/A
27,SG Oil Refineries Limited,Distributor,0,100,0,1,N/A
28,Shabnam Vegetable Oil Industries Limited,Distributor,0,100,0,1,N/A
29,Shakti Edible Products Limited,Distributor,0,100,0,1,N/A
31,Smile Food Products,Distributor,0,100,0,1,N/A
32,Super Oil Refinery Limited,Distributor,0,100,0,1,N/A
33,Tamim Agro Industries Limited,Distributor,0,100,0,1,N/A
34,VOTT Oil Refineries Limited,Distributor,0,100,0,1,N/A
35,A Deshi Food Product Ltd,Refinery,150000,100,0,1,N/A
36,AMB Nosia Ltd,Refinery,150000,100,0,1,N/A
37,Ara Food & Beverage,Refinery,150000,100,0,1,N/A
38,Areej Veg Oils,Refinery,200000,100,0,1,N/A
39,Chamak Food Products,Refinery,0,100,0,1,N/A
40,Confidence Edible Oil Ltd,Refinery,0,100,0,1,N/A
41,Gazi NPKS,Refinery,150000,100,0,1,N/A
42,JB Foods Service,Refinery,0,100,0,1,N/A
43,Jibon Food Products,Refinery,0,100,0,1,N/A
44,Kanon Enterprise,Refinery,0,100,0,1,N/A
45,MH Edible Products Ltd,Refinery,150000,100,0,1,N/A
46,Madina Oil Limited,Refinery,0,100,0,1,N/A
47,Monjil Multi Food Product Ltd,Refinery,0,100,0,1,N/A
48,MS Modina Oil Mills,Refinery,0,100,0,1,N/A
49,Natore Agro Ltd,Refinery,42000,100,0,1,N/A
50,NM Food Product,Refinery,42000,100,0,1,N/A
51,Olitalia,Refinery,150000,100,0,1,N/A
52,Omi Food Product,Refinery,150000,100,0,1,N/A
53,Pran Agro Ltd,Refinery,150000,100,0,1,N/A
54,President Food Products,Refinery,150000,100,0,1,N/A
55,RB Edible Food Product,Refinery,600000,100,0,1,N/A
56,Rony Edible Oil & Food products Ltd,Refinery,150000,100,0,1,N/A
57,Saif Edible Food Packing,Refinery,150000,100,0,1,N/A
58,MM Vegetable Oil Industries,Refinery,600000,100,0,1,N/A
59,Deepa Food Products Ltd,Refinery,150000,100,0,1,N/A
60,Tanveer/United Edible Oil Mills,Refinery,300000,100,0,1,N/A
61,Shun Shing Edible oil Ltd,Refinery,18000,100,0,1,N/A
62,Marine Edible Oil Ltd,Refinery,18000,100,0,1,N/A
63,ACI Edible Oils Ltd,Refinery,18000,100,0,1,N/A
63,ACI Edible Oils Ltd,Refinery,150000,100,0,1,N/A
64,AM Bran Oil Company Ltd,Refinery,48000,100,0,1,N/A
65,Adani Wilmar Ltd,Refinery,15000,100,0,1,N/A
66,Emarald Oil Ltd,Refinery,18000,100,0,1,N/A
67,Lam Soon Edible Oil Industries Sdn Bhd,Refinery,15000,100,0,1,N/A
68,Green Oil Ltd,Refinery,15000,100,0,1,N/A
69,KBC Agro Products Ltd,Refinery,15000,100,0,1,N/A
70,Kadooglu yag san,Refinery,15000,100,0,1,N/A
71,Kucukbay Oil Industry Inc,Refinery,21000,100,0,1,N/A
72,Majumder Group of Industries,Refinery,945000,100,0,1,N/A
73,MRT Agro Product Ltd,Refinery,405000,100,0,1,N/A
74,Mateo SA,Refinery,360000,100,0,1,N/A
75,United Edible Oil Ltd,Refinery,393000,100,0,1,N/A
76,Chemical Oil Refineries,Refinery,270000,100,0,1,N/A
77,Borges Agricultural and Industrial Edible Oils,Refinery,0,100,0,1,N/A
78,Rashid Oil Mills Ltd,Refinery,96000,100,0,1,N/A
79,Khan Food & Aquarcy Ltd,Refinery,60000,100,0,1,N/A
80,Shabnam Vegetable Oil Industries Ltd,Refinery,54000,100,0,1,N/A
81,Super Oil Refinery Ltd,Refinery,66000,100,0,1,N/A
