Brand,CompanyID,Company group,SKU,Unit,Packaging Type ID,Packaging,Price,CurrencyID,Price Currency,Reference No.
Rupchanda Soyabean Oil,4,Bangladesh Edible Oil Limited,1,Litre,1,Poly,164,2,BDT,88
Rupchanda Soyabean Oil,4,Bangladesh Edible Oil Limited,1,Litre,2,Pet Bottle,167,2,BDT,89
Rupchanda Soyabean Oil,4,Bangladesh Edible Oil Limited,2,Litre,2,Pet Bottle,334,2,BDT,1
Rupchanda Soyabean Oil,4,Bangladesh Edible Oil Limited,5,Litre,2,Pet Bottle,818,2,BDT,1
Rupchanda Soyabean Oil,4,Bangladesh Edible Oil Limited,8,Litre,2,Pet Bottle,1320,2,BDT,1
Fortune Fortified Rice Bran Oil,4,Bangladesh Edible Oil Limited,1,Litre,2,Pet Bottle,197,2,BDT,1
Fortune Fortified Rice Bran Oil,4,Bangladesh Edible Oil Limited,2,Litre,2,Pet Bottle,390,2,BDT,1
Fortune Fortified Rice Bran Oil,4,Bangladesh Edible Oil Limited,5,Litre,2,Pet Bottle,935,2,BDT,1
Fortune Kachi Ghani Pure Mustard Oil,4,Bangladesh Edible Oil Limited,1,Litre,2,Pet Bottle,350,2,BDT,1
Kings Sunflower Oil,4,Bangladesh Edible Oil Limited,5,Litre,2,Pet Bottle,2100,2,BDT,1
Veola Fortified Soyabean Oil,4,Bangladesh Edible Oil Limited,2,Litre,2,Pet Bottle,338,2,BDT,1
Meizan Super Palm Oilein,4,Bangladesh Edible Oil Limited,5,Litre,2,Pet Bottle,860,2,BDT,1
Fresh Fortified Soyabean Oil,14,Meghna Group of Industries,1,Litre,1,Poly,165,2,BDT,1
Fresh Fortified Soyabean Oil,14,Meghna Group of Industries,2,Litre,2,Pet Bottle,334,2,BDT,1
Fresh Fortified Soyabean Oil,14,Meghna Group of Industries,5,Litre,2,Pet Bottle,818,2,BDT,1
Fresh Fortified Soyabean Oil,14,Meghna Group of Industries,8,Litre,2,Pet Bottle,1310,2,BDT,1
Fresh Actifit Mustard Oil,14,Meghna Group of Industries,500,Millilitre,2,Pet Bottle,180,2,BDT,1
Fresh Actifit Mustard Oil,14,Meghna Group of Industries,1,Litre,2,Pet Bottle,350,2,BDT,1
Teer Fortified Soyabean Oil,7,City Group,1,Litre,2,Pet Bottle,167,2,BDT,1
Teer Fortified Soyabean Oil,7,City Group,2,Litre,2,Pet Bottle,334,2,BDT,1
Teer Fortified Soyabean Oil,7,City Group,5,Litre,2,Pet Bottle,818,2,BDT,1
Teer Fortified Soyabean Oil,7,City Group,8,Litre,2,Pet Bottle,1320,2,BDT,1
ACI Pure Fortified Soyabean Oil,23,ACI,2,Litre,2,Pet Bottle,346,2,BDT,1
ACI Pure Fortified Soyabean Oil,23,ACI,5,Litre,2,Pet Bottle,845,2,BDT,1
ACI Nutrilife Rice Bran Oil,23,ACI,2,Litre,2,Pet Bottle,455,2,BDT,1
ACI Nutrilife Rice Bran Oil,23,ACI,5,Litre,2,Pet Bottle,1080,2,BDT,1
Pusti Fortified Soyabean Oil,20,TK Group,1,Litre,1,Poly,165,2,BDT,1
Pusti Fortified Soyabean Oil,20,TK Group,1,Litre,2,Pet Bottle,167,2,BDT,1
Pusti Fortified Soyabean Oil,20,TK Group,5,Litre,2,Pet Bottle,818,2,BDT,1
Pusti Fortified Soyabean Oil,20,TK Group,8,Litre,2,Pet Bottle,1320,2,BDT,1
Pusti Family Fortified Palm Olein Oil,20,TK Group,2,Litre,2,Pet Bottle,330,2,BDT,1
Pran Mustard Oil,22,PRAN,500,Millilitre,2,Pet Bottle,180,2,BDT,1
Pran Mustard Oil,22,PRAN,1,Litre,2,Pet Bottle,355,2,BDT,1
