Reference No.,Source,Link,Process to Obtain Data,Access Date
1,N/A,N/A,N/A,0000-00-00
2,BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/b343a8b4_956b_45ca_872f_4cf9b2f1a6e0/2024-01-31-15-51-b53c55dd692233ae401ba013060b9cbb.pdf,Go to Link> Open File> GTo to Table 3.2.6,0000-00-00
3,Faostat,Link C,N/A,0000-00-00
3,BBS,Link D,N/A,0000-00-00
4,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",11-04-24
5,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",11-04-24
6,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",11-04-24
7,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",11-04-24
8,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",11-04-24
9,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",11-04-24
10,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",11-04-24
11,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",11-04-24
12,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",11-04-24
13,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",11-04-24
14,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",11-04-24
15,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",11-04-24
16,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",11-04-24
17,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",11-04-24
18,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",11-04-24
19,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",11-04-24
20,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: mustard oil> Year: 2015-2024",11-04-24
21,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",11-04-24
22,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",11-04-24
23,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",11-04-24
24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",11-04-24
25,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",11-04-24
26,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",11-04-24
27,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",11-04-24
28,Oilseeds and Products Annual GAIN Report - USDA,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Oilseeds%20and%20Products%20Annual_Dhaka_Bangladesh_BG2023-0007,BBS Homepage > Publication > Foreign Trade Statistics > Yearly Report> Volume 2> Part 2,11-04-24
29,Oilseeds and Products Annual GAIN Report - USDA,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Oilseeds%20and%20Products%20Annual_Dhaka_Bangladesh_BG2023-0007,BBS Homepage > Publication > Foreign Trade Statistics > Yearly Report> Volume 2> Part 2,11-04-24
30,Oilseeds and Products Annual GAIN Report - USDA,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/8643ec8b_27a3_41cd_bbd9_9be3479f578e/2023-05-28-05-50-77ecbebf784c7504c5fc839be6ab707e.pdf,BBS Homepage > Publication > Foreign Trade Statistics > Yearly Report> Volume 2> Part 2,11-04-24
