Food Vehicle,Country,FoodType,Processing Stage,Origin,Producer/ processor name,Producer/ processor address,Country of producer/ processor,Production capacity volume (MT/Y),% of capacity used,Annual production/ supply Volume,Brand name,Product reference,Supply Volume Unit,"Periodical Unit Year/Month, Day)",Source Volume,Value in Metric Ton/ Year,Crop to Food Converted Value,Start Year,End Year,Accessed Date,Source,Link,Process to Obtain Data,Producer name,Distribution Channel,Sub Distribution Channel,Volume,Source Volume Unit,Periodical Unit (Annual/Monthly),Distributed volume in Metric Ton/ Year,Food vehicle supply to distributed Converted Value,Zone,Region/state,City,Population Group,Age Group,Population ratio,Acquired or consumed,Source Volume,Converted Value,Volume Unit,Periodical Unit (Annual/Monthly),Consumed volume in Metric Ton/ Year,Food consumed to acquired Converted Value
Edible Oil,Bangladesh,Soya Bean,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,15-Jan,15-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Retail Shop,0,Metric Ton,Month,0,0,,,Dhaka,Male,10-Jan,0,Acquired,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Soya Bean,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,16-Jan,16-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Retail Shop,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-Oct,0,Acquired,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Soya Bean,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,17-Jan,17-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Retail Shop,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-30,0,Acquired,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Soya Bean,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,18-Jan,18-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Retail Shop,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,10-Jan,0,Acquired,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Soya Bean,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,19-Jan,19-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Retail Shop,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-Oct,0,Acquired,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Soya Bean,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,20-Jan,20-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Retail Shop,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-30,0,Acquired,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Soya Bean,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,21-Jan,21-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Wholesale,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,10-Jan,0,Acquired,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Soya Bean,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,22-Jan,22-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Wholesale,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-Oct,0,Acquired,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Sunflower,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,15-Jan,15-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Wholesale,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-30,0,Acquired,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Sunflower,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,16-Jan,16-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Wholesale,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,10-Jan,0,Acquired,20,20,Grams,Day,0,0
