VehicleID,Food TypeID,RawCropsID,Country_ID,Periodical Unit,Source Volume,UnitID,Start Year,End Year,Accessed Date,Source,Link,Process to Obtain Data,,,,,,,,,,,,
1,4,2,1,Annual,"1,239.00",1,Jan-15,Dec-15,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",,,,,,,,,,,,
1,4,2,1,Annual,819,1,Jan-16,Dec-16,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",,,,,,,,,,,,
1,4,2,1,Annual,833,1,Jan-17,Dec-17,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",,,,,,,,,,,,
1,4,2,1,Annual,951,1,Jan-18,Dec-18,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",,,,,,,,,,,,
1,4,2,1,Annual,754,1,Jan-19,Dec-19,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",,,,,,,,,,,,
1,4,2,1,Annual,666,1,Jan-20,Dec-20,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",,,,,,,,,,,,
1,4,2,1,Annual,797,1,Jan-21,Dec-21,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",,,,,,,,,,,,
1,4,2,1,Annual,648,1,Jan-22,Dec-22,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Annual Import Quantity >
Items Filter: soybean oil> Year: 2015-2024",,,,,,,,,,,,
1,6,2,1,Annual,2,1,Jan-15,Dec-15,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",,,,,,,,,,,,
1,6,2,1,Annual,2,1,Jan-16,Dec-16,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",,,,,,,,,,,,
1,6,2,1,Annual,4,1,Jan-17,Dec-17,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",,,,,,,,,,,,
1,6,2,1,Annual,3,1,Jan-18,Dec-18,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",,,,,,,,,,,,
1,6,2,1,Annual,4,1,Jan-19,Dec-19,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",,,,,,,,,,,,
1,6,2,1,Annual,9,1,Jan-20,Dec-20,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",,,,,,,,,,,,
1,6,2,1,Annual,5,1,Jan-21,Dec-21,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",,,,,,,,,,,,
