0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Large Scale,Bangladesh Edible Oil Limited,1,Edible Oil,1,Rupchanda Soyabean Oil,1,1,Poly,164,Soya Bean,4,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Large Scale,Bangladesh Edible Oil Limited,1,Edible Oil,1,Rupchanda Soyabean Oil,1,1,Pet Bottle,167,Soya Bean,4,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Large Scale,Bangladesh Edible Oil Limited,1,Edible Oil,1,Rupchanda Soyabean Oil,1,2,Pet Bottle,334,Soya Bean,4,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Large Scale,Bangladesh Edible Oil Limited,1,Edible Oil,1,Rupchanda Soyabean Oil,1,5,Pet Bottle,818,Soya Bean,4,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Large Scale,Bangladesh Edible Oil Limited,1,Edible Oil,1,Rupchanda Soyabean Oil,1,8,Pet Bottle,1320,Soya Bean,4,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Large Scale,Bangladesh Edible Oil Limited,1,Edible Oil,1,Fortune Fortified Rice Bran Oil,2,1,Pet Bottle,197,Rice Bran,13,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Large Scale,Bangladesh Edible Oil Limited,1,Edible Oil,1,Fortune Fortified Rice Bran Oil,2,2,Pet Bottle,390,Rice Bran,13,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Large Scale,Bangladesh Edible Oil Limited,1,Edible Oil,1,Fortune Fortified Rice Bran Oil,2,5,Pet Bottle,935,Rice Bran,13,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Large Scale,Bangladesh Edible Oil Limited,1,Edible Oil,1,Fortune Kachi Ghani Pure Mustard Oil,3,1,Pet Bottle,350,Rape & Mustard,9,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
Large Scale,Bangladesh Edible Oil Limited,1,Edible Oil,1,Kings Sunflower Oil,4,5,Pet Bottle,2100,Sunflower,6,https://www.gainhealth.org/sites/default/files/publications/documents/assessment-of-presence-of-edible-oil-brands-in-bangladesh-2017.pdf,10/20/2024,Search prompt "GAIN report on Assessment of presence of edible oil brands in Bangladesh"
