(VARCHAR(20)),(VARCHAR(20)),(VARCHAR(20)),INT,
Rupchanda Soyabean Oil,Bangladesh Edible Oil Limited,1,Edible Oil,1
Fortune Fortified Rice Bran Oil,Bangladesh Edible Oil Limited,1,Edible Oil,1
Fortune Kachi Ghani Pure Mustard Oil,Bangladesh Edible Oil Limited,1,Edible Oil,1
Kings Sunflower Oil,Bangladesh Edible Oil Limited,1,Edible Oil,1
Veola Fortified Soyabean Oil,Bangladesh Edible Oil Limited,1,Edible Oil,1
Meizan Super Palm Oilein,Bangladesh Edible Oil Limited,1,Edible Oil,1
Fresh Fortified Soyabean Oil,Meghna Group of Industries,2,Edible Oil,1
Fresh Actifit Mustard Oil,Meghna Group of Industries,2,Edible Oil,1
Teer Fortified Soyabean Oil,City Group,3,Edible Oil,1
ACI Pure Fortified Soyabean Oil,ACI,4,Edible Oil,1
ACI Nutrilife Rice Bran Oil,ACI,4,Edible Oil,1
Pusti Fortified Soyabean Oil,T.K Group,5,Edible Oil,1
Pusti Family Fortified Palm Olein Oil,T.K Group,5,Edible Oil,1
Pran Mustard Oil,PRAN,6,Edible Oil,1
